Year,Cyclist
1927 Nürburgringdetails, Alfredo Binda (ITA)
1928 Budapestdetails, Georges Ronsse (BEL)
1929 Zürichdetails, Georges Ronsse (BEL)
1930 Liègedetails, Alfredo Binda (ITA)
1931 Copenhagendetails, Learco Guerra (ITA)
1932 Romedetails, Alfredo Binda (ITA)
1933 Montlhérydetails, Georges Speicher (FRA)
1934 Leipzigdetails, Karel Kaers (BEL)
1935 Floreffedetails, Jean Aerts (BEL)
1936 Berndetails, Antonin Magne (FRA)
1937 Copenhagendetails, Éloi Meulenberg (BEL)
1938 Valkenburgdetails, Marcel Kint (BEL)
1946 Zürichdetails, Hans Knecht (SUI)
1947 Reimsdetails, Theo Middelkamp (NED)
1948 Valkenburgdetails, Briek Schotte (BEL)
1949 Copenhagendetails, Rik Van Steenbergen (BEL)
1950 Moorslededetails, Briek Schotte (BEL)
1951 Varesedetails, Ferdinand Kübler (SUI)
1952 Luxembourgdetails, Heinz Müller (FRG)
1953 Luganodetails, Fausto Coppi (ITA)
1954 Solingendetails, Louison Bobet (FRA)
1955 Frascatidetails, Stan Ockers (BEL)
1956 Copenhagendetails, Rik Van Steenbergen (BEL)
1957 Waregemdetails, Rik Van Steenbergen (BEL)
1958 Reimsdetails, Ercole Baldini (ITA)
1959 Zandvoortdetails, André Darrigade (FRA)
1960 Karl-Marx-Stadtdetails, Rik Van Looy (BEL)
1961 Berndetails, Rik Van Looy (BEL)
1962 Salò di Gardadetails, Jean Stablinski (FRA)
1963 Ronsedetails, Benoni Beheyt (BEL)
1964 Sallanchesdetails, Jan Janssen (NED)
1965 San Sebastiándetails, Tom Simpson (GBR)
1966 Nürburgringdetails, Rudi Altig (FRG)
1967 Heerlendetails, Eddy Merckx (BEL)
1968 Imoladetails, Vittorio Adorni (ITA)
1969 Zolderdetails, Harm Ottenbros (NED)
1970 Leicesterdetails, Jean-Pierre Monseré (BEL)
1971 Mendrisiodetails, Eddy Merckx (BEL)
1972 Gapdetails, Marino Basso (ITA)
1973 Barcelonadetails, Felice Gimondi (ITA)
1974 Montrealdetails, Eddy Merckx (BEL)
1975 Yvoirdetails, Hennie Kuiper (NED)
1976 Ostunidetails, Freddy Maertens (BEL)
1977 San Cristóbaldetails, Francesco Moser (ITA)
1978 Nürburgringdetails, Gerrie Knetemann (NED)
1979 Valkenburgdetails, Jan Raas (NED)
1980 Sallanchesdetails, Bernard Hinault (FRA)
1981 Praguedetails, Freddy Maertens (BEL)
1982 Goodwooddetails, Giuseppe Saronni (ITA)
1983 Altenrheindetails, Greg LeMond (USA)
1984 Barcelonadetails, Claude Criquielion (BEL)
1985 Giavera del Montellodetails, Joop Zoetemelk (NED)
1986 Colorado Springsdetails, Moreno Argentin (ITA)
1987 Villachdetails, Stephen Roche (IRL)
1988 Ronsedetails, Maurizio Fondriest (ITA)
1989 Chambérydetails, Greg LeMond (USA)
1990 Utsunomiyadetails, Rudy Dhaenens (BEL)
1991 Stuttgartdetails, Gianni Bugno (ITA)
1992 Benidormdetails, Gianni Bugno (ITA)
1993 Oslodetails, Lance Armstrong (USA)
1994 Agrigentodetails, Luc Leblanc (FRA)
1995 Duitamadetails, Abraham Olano (ESP)
1996 Luganodetails, Johan Museeuw (BEL)
1997 San Sebastiándetails, Laurent Brochard (FRA)
1998 Valkenburgdetails, Oscar Camenzind (SUI)
1999 Veronadetails, Óscar Freire (ESP)
2000 Plouaydetails, Romāns Vainšteins (LAT)
2001 Lisbondetails, Óscar Freire (ESP)
2002 Zolder/Hasseltdetails, Mario Cipollini (ITA)
2003 Hamiltondetails, Igor Astarloa (ESP)
2004 Veronadetails, Óscar Freire (ESP)
2005 Madriddetails, Tom Boonen (BEL)
2006 Salzburgdetails, Paolo Bettini (ITA)
2007 Stuttgartdetails, Paolo Bettini (ITA)
2008 Varesedetails, Alessandro Ballan (ITA)
2009 Mendrisiodetails, Cadel Evans (AUS)
2010 Geelongdetails, Thor Hushovd (NOR)
2011 Copenhagendetails, Mark Cavendish (GBR)
2012 Valkenburgdetails, Philippe Gilbert (BEL)
2013 Florencedetails, Rui Costa (POR)
2014 Ponferradadetails, Michał Kwiatkowski (POL)
2015 Richmonddetails, Peter Sagan (SVK)
2016 Dohadetails, Peter Sagan (SVK)
2017 Bergendetails, Peter Sagan (SVK)
2018 Innsbruckdetails, Alejandro Valverde (ESP)
2019 Yorkshiredetails, Mads Pedersen (DEN)
2020 Imoladetails, Julian Alaphilippe (FRA)
2021 Flandersdetails, Julian Alaphilippe (FRA)
2022 Wollongongdetails, Remco Evenepoel (BEL)
2023 Glasgowdetails, Mathieu van der Poel (NED)
2024 Zurichdetails, Tadej Pogačar (SLO)
1958, Elsy Jacobs (LUX)
1959, Yvonne Reynders (BEL)
1960, Beryl Burton (GBR)
1961, Yvonne Reynders (BEL)
1962, Marie-Rose Gaillard (BEL)
1963, Yvonne Reynders (BEL)
1964, Emīlija Sonka (URS)
1965, Elisabeth Eicholz (GDR)
1966, Yvonne Reynders (BEL)
1967, Beryl Burton (GBR)
1968, Keetie van Oosten-Hage (NED)
1969, Audrey McElmury (USA)
1970, Anna Konkina (URS)
1971, Anna Konkina (URS)
1972, Geneviève Gambillon (FRA)
1973, Nicole Vandenbroeck (BEL)
1974, Geneviève Gambillon (FRA)
1975, Tineke Fopma (NED)
1976, Keetie van Oosten-Hage (NED)
1977, Josiane Bost (FRA)
1978, Beate Habetz (FRG)
1979, Petra de Bruijn (NED)
1980, Beth Heiden (USA)
1981, Ute Enzenauer (FRG)
1982, Mandy Jones (GBR)
1983, Marianne Berglund (SWE)
1984,No race
1985, Jeannie Longo (FRA)
1986, Jeannie Longo (FRA)
1987, Jeannie Longo (FRA)
1988,No race
1989, Jeannie Longo (FRA)
1990, Catherine Marsal (FRA)
1991, Leontien van Moorsel (NED)
1992,No race
1993, Leontien van Moorsel (NED)
1994, Monica Valvik (NOR)
1995, Jeannie Longo (FRA)
1996, Barbara Heeb (SUI)
1997, Alessandra Cappellotto (ITA)
1998, Diana Žiliūtė (LTU)
1999, Edita Pučinskaitė (LTU)
2000, Zinaida Stahurskaia (BLR)
2001, Rasa Polikevičiūtė (LTU)
2002, Susanne Ljungskog (SWE)
2003, Susanne Ljungskog (SWE)
2004, Judith Arndt (GER)
2005, Regina Schleicher (GER)
2006, Marianne Vos (NED)
2007, Marta Bastianelli (ITA)
2008, Nicole Cooke (GBR)
2009, Tatiana Guderzo (ITA)
2010, Giorgia Bronzini (ITA)
2011, Giorgia Bronzini (ITA)
2012, Marianne Vos (NED)
2013, Marianne Vos (NED)
2014, Pauline Ferrand-Prévot (FRA)
2015, Lizzie Armitstead (GBR)
2016, Amalie Dideriksen (DEN)
2017, Chantal Blaak (NED)
2018, Anna van der Breggen (NED)
2019, Annemiek van Vleuten (NED)
2020, Anna van der Breggen (NED)
2021, Elisa Balsamo (ITA)
2022, Annemiek van Vleuten (NED)
2023, Lotte Kopecky (BEL)
2024, Lotte Kopecky (BEL)
